"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
129,-1.88174695049995,-58.8174437914162,"São Sebastião do Uatumã",1303957,"AM","Amazônia",10535.59755,149.4,16.5,2.8,9.8,3.9,1.4,1.7,1.8,5.5,2.2,4.8,2.7,0.9,4,4.9,1.7,0.8,3.6,0.7,2.3,1.3,1.6,5,9675.6,64.1,563.1
130,-2.85286495299994,-58.5046654177596,"Silves",1304005,"AM","Amazônia",3727.24184,385.5,10.4,4,5.6,9.4,2.4,1,1.6,2.8,0.3,2.5,1.7,2.4,0.9,1.3,0.7,1.4,1.1,0.6,1.6,1.6,1.5,1,2560.5,118,603.5
131,-4.02557166649996,-69.6919716657086,"Tabatinga",1304062,"AM","Amazônia",3193.68454,135.7,5.7,3.5,2.8,0.6,0.8,0.6,2.4,1,1.1,1,0.9,0.7,0.2,3.7,0.2,1.8,0.4,0.2,1.7,0.6,3.7,1.3,2938.5,0,82.4
132,-5.9339794444999,-65.972743584057,"Tapauá",1304104,"AM","Amazônia",85365.13044,242,5.1,5.5,7.5,4.6,4.2,0.5,4.2,3.1,0.7,5.4,4.4,0.7,2.6,2.7,0.5,3,4.3,17.6,21.2,16.9,51.6,66.2,81256.3,2157.6,1449.1
133,-4.42039805549993,-65.5840928082267,"Tefé",1304203,"AM","Amazônia",23389.21095,529.2,13.1,19.8,15.3,2.3,7,3.9,4.3,9.7,4.3,8.8,3.4,2.9,2,15.5,2.3,8.1,5.7,8.3,7.5,10.5,12.8,2.2,21844.3,151.4,678.8
134,-2.57567361099996,-67.4724726258992,"Tonantins",1304237,"AM","Amazônia",6433.29261,65.5,6.1,0.2,2.1,1.5,1,0.6,1.1,0.3,0.4,0.9,1,0.3,0,0.5,0,0.3,7.9,0.1,0.2,1.1,0.5,0.1,5945.1,67.6,326
135,-3.21007024599996,-65.4317267667576,"Uarini",1304260,"AM","Amazônia",10279.08397,189.5,4.8,19.9,3.2,3.2,3.4,1.5,2.4,6.7,0.5,3.6,1.3,2,0.6,8.6,0.5,5.1,2.6,5.4,2.4,3.5,6,1.3,9431.8,100.1,464.8
136,-1.24929858749996,-58.7891100923219,"Urucará",1304302,"AM","Amazônia",27952.01602,296.6,17.1,1.3,6.5,0.9,1.2,1.9,1.8,2.1,1.6,4.1,1.8,0.5,2.3,1.4,0.4,0.3,0.6,0.5,0.9,0.5,0.9,1.3,26519.3,429.5,653.9
137,-2.83659621349994,-57.8198576729203,"Urucurituba",1304401,"AM","Amazônia",2802.98451,83.9,7.5,0,2.5,0.2,0.4,0.3,0.3,0.6,0,1,0.6,0,0.8,0.9,0.1,0.1,0.1,0,0.4,0.1,0.8,1.4,25.4,1690.7,985.9
138,3.72465178300005,-61.8097252013031,"Amajari",1400027,"RR","Amazônia",28466.39124,61.7,143,22.8,9.9,3.6,3.5,6.3,9.1,34.7,3.3,8.5,12.6,5.3,5.2,11.3,11.3,9,9,11.7,21.3,15,10.4,18.3,22623.3,5310.8,84.4
139,3.10245564100006,-62.6085603410694,"Alto Alegre",1400050,"RR","Amazônia",25565.79257,494.4,81.2,6.7,60.1,24.5,2.7,14.7,7.4,36.4,4.3,6.6,11.3,7,15.5,6.6,6.9,24.5,1.8,5.2,21.9,35.9,12.8,24.2,21926.3,2623.2,99.6
