cod_ibge,id_mun,ano,casos
5107701,510770,2013,77
5107743,510774,2013,3
5107750,510775,2013,27
5107768,510776,2013,12
5107776,510777,2013,3
5107792,510779,2013,157
5107800,510780,2013,38
5107859,510785,2013,16
5107875,510787,2013,478
5107883,510788,2013,45
5107909,510790,2013,5359
5107925,510792,2013,973
5107941,510794,2013,114
5107958,510795,2013,1122
5108006,510800,2013,61
5108055,510805,2013,81
5108105,510810,2013,14
5108204,510820,2013,95
5108303,510830,2013,115
5108352,510835,2013,31
5108402,510840,2013,388
5108501,510850,2013,98
5108600,510860,2013,76
5108808,510880,2013,109
5108857,510885,2013,23
5108907,510890,2013,15
5108956,510895,2013,556
1100015,110001,2014,29
1100023,110002,2014,60
1100031,110003,2014,9
1100049,110004,2014,33
1100056,110005,2014,12
1100064,110006,2014,31
1100072,110007,2014,11
1100080,110008,2014,118
1100098,110009,2014,18
1100106,110010,2014,25
1100114,110011,2014,54
1100122,110012,2014,215
1100130,110013,2014,82
1100148,110014,2014,23
1100155,110015,2014,48
1100189,110018,2014,35
1100205,110020,2014,294
1100254,110025,2014,27
1100262,110026,2014,1
1100288,110028,2014,69
1100296,110029,2014,8
1100304,110030,2014,47
1100320,110032,2014,1
1100338,110033,2014,4
1100346,110034,2014,25
1100379,110037,2014,15
1100403,110040,2014,24
1100452,110045,2014,128
1100502,110050,2014,20
1100601,110060,2014,7
1100700,110070,2014,226
1100809,110080,2014,15
1100908,110090,2014,1
1100924,110092,2014,23
1100940,110094,2014,3
1101005,110100,2014,3
1101104,110110,2014,30
1101203,110120,2014,3
1101302,110130,2014,10
1101401,110140,2014,6
1101435,110143,2014,7
1101450,110145,2014,8
1101468,110146,2014,2
1101476,110147,2014,6
1101484,110148,2014,53
1101492,110149,2014,20
1101500,110150,2014,27
1101559,110155,2014,0
1101609,110160,2014,8
1101708,110170,2014,67
1101757,110175,2014,3
1101807,110180,2014,2
1200013,120001,2014,7
1200054,120005,2014,21
1200104,120010,2014,12
1200138,120013,2014,30
1200179,120017,2014,18
1200203,120020,2014,26591
1200252,120025,2014,42
1200302,120030,2014,10
1200328,120032,2014,0
1200336,120033,2014,256
1200344,120034,2014,3
1200351,120035,2014,43
1200385,120038,2014,25
1200393,120039,2014,51
1200401,120040,2014,585
1200427,120042,2014,311
1200435,120043,2014,4
1200450,120045,2014,19
1200500,120050,2014,38
1200609,120060,2014,28
1200708,120070,2014,11
1200807,120080,2014,12
1300029,130002,2014,15
1300060,130006,2014,4
1300086,130008,2014,0
1300102,130010,2014,40
1300144,130014,2014,1
1300201,130020,2014,6
1300300,130030,2014,0
1300409,130040,2014,10
1300508,130050,2014,0
1300607,130060,2014,3
1300631,130063,2014,0
1300680,130068,2014,1
1300706,130070,2014,18
1300805,130080,2014,50
1300839,130083,2014,2
1300904,130090,2014,1
1301001,130100,2014,0
1301100,130110,2014,6
1301159,130115,2014,0
1301209,130120,2014,493
1301308,130130,2014,7
1301407,130140,2014,1
1301506,130150,2014,0
1301605,130160,2014,0
1301654,130165,2014,532
1301704,130170,2014,65
1301803,130180,2014,19
1301852,130185,2014,2
1301902,130190,2014,465
1301951,130195,2014,1
1302009,130200,2014,1
1302108,130210,2014,2
1302207,130220,2014,1
1302306,130230,2014,0
1302405,130240,2014,22
1302504,130250,2014,13
1302553,130255,2014,0
1302603,130260,2014,2591
1302702,130270,2014,3
1302801,130280,2014,7
1302900,130290,2014,2
1303007,130300,2014,0
1303106,130310,2014,2
1303205,130320,2014,6
1303304,130330,2014,57
1303403,130340,2014,13
1303502,130350,2014,0
1303536,130353,2014,31
1303569,130356,2014,1
1303601,130360,2014,0
1303700,130370,2014,2
1303809,130380,2014,385
1303908,130390,2014,0
1303957,130395,2014,1
1304005,130400,2014,2
1304062,130406,2014,1089
1304104,130410,2014,1
1304203,130420,2014,689
1304237,130423,2014,0
1304260,130426,2014,1
1304302,130430,2014,1
1304401,130440,2014,0
1400027,140002,2014,13
1400050,140005,2014,23
1400100,140010,2014,288
1400159,140015,2014,107
1400175,140017,2014,13
1400209,140020,2014,68
1400233,140023,2014,6
1400282,140028,2014,115
1400308,140030,2014,37
1400407,140040,2014,4
1400456,140045,2014,18
1400472,140047,2014,429
1400506,140050,2014,5
1400605,140060,2014,1
1400704,140070,2014,2
1500107,150010,2014,16
1500131,150013,2014,10
1500206,150020,2014,65
1500305,150030,2014,2
1500347,150034,2014,3
1500404,150040,2014,4
1500503,150050,2014,150
1500602,150060,2014,247
1500701,150070,2014,0
1500800,150080,2014,35
1500859,150085,2014,249
1500909,150090,2014,4
1500958,150095,2014,7
1501006,150100,2014,0
1501105,150110,2014,0
1501204,150120,2014,4
1501253,150125,2014,25
1501303,150130,2014,7
1501402,150140,2014,480
1501451,150145,2014,0
1501501,150150,2014,7
1501576,150157,2014,1
1501600,150160,2014,0
1501709,150170,2014,7
1501725,150172,2014,70
1501758,150175,2014,19
1501782,150178,2014,4
1501808,150180,2014,6
1501907,150190,2014,3
1501956,150195,2014,20
1502004,150200,2014,0
1502103,150210,2014,14
1502152,150215,2014,16
1502202,150220,2014,11
1502301,150230,2014,8
1502400,150240,2014,15
1502509,150250,2014,1
1502608,150260,2014,1
1502707,150270,2014,12
1502756,150275,2014,4
1502764,150276,2014,5
1502772,150277,2014,21
1502806,150280,2014,2
1502855,150285,2014,0
1502905,150290,2014,11
1502939,150293,2014,22
1502954,150295,2014,19
1503002,150300,2014,0
1503044,150304,2014,1
1503077,150307,2014,0
1503093,150309,2014,4
1503101,150310,2014,37
1503200,150320,2014,7
1503309,150330,2014,1
1503408,150340,2014,9
1503457,150345,2014,19
1503507,150350,2014,6
1503606,150360,2014,70
1503705,150370,2014,36
1503754,150375,2014,0
1503804,150380,2014,3
1503903,150390,2014,25
1504000,150400,2014,1
1504059,150405,2014,1
1504109,150410,2014,1
1504208,150420,2014,94
1504307,150430,2014,3
1504406,150440,2014,0
