cod_ibge,id_mun,ano,obitos
2103505,210350,2018,0
2103802,210380,2018,0
2104404,210440,2018,0
2105302,210530,2018,0
2105401,210540,2018,0
2105500,210550,2018,0
2105708,210570,2018,0
2105906,210590,2018,0
2105963,210596,2018,0
2106326,210632,2018,1
2106755,210675,2018,0
2107357,210735,2018,0
2107456,210745,2018,0
2107506,210750,2018,1
2107704,210770,2018,0
2108009,210800,2018,0
2109007,210900,2018,0
2109452,210945,2018,0
2110005,211000,2018,0
2110708,211070,2018,0
2111029,211102,2018,0
2111052,211105,2018,0
2111201,211120,2018,0
2111300,211130,2018,1
2111409,211140,2018,0
2112233,211223,2018,0
2112902,211290,2018,0
2113009,211300,2018,0
5100250,510025,2018,0
5100409,510040,2018,0
5100508,510050,2018,0
5101308,510130,2018,0
5101803,510180,2018,0
5101902,510190,2018,0
5102504,510250,2018,0
5102603,510260,2018,0
5102637,510263,2018,0
5102678,510267,2018,1
5102694,510269,2018,0
5102702,510270,2018,0
5103007,510300,2018,0
5103205,510320,2018,0
5103254,510325,2018,0
5103304,510330,2018,0
5103353,510335,2018,0
5103403,510340,2018,0
5103502,510350,2018,0
5103809,510380,2018,0
5103858,510385,2018,0
5104104,510410,2018,0
5104807,510480,2018,0
5105002,510500,2018,0
5105101,510510,2018,0
5105150,510515,2018,0
5105259,510525,2018,0
5105606,510560,2018,0
5106000,510600,2018,0
5106190,510619,2018,0
5106216,510621,2018,0
5106224,510622,2018,1
5106265,510626,2018,0
5106273,510627,2018,0
5106422,510642,2018,0
5106505,510650,2018,1
5106653,510665,2018,0
5106752,510675,2018,0
5106778,510677,2018,0
5107008,510700,2018,0
5107040,510704,2018,0
5107065,510706,2018,0
5107602,510760,2018,0
5107768,510776,2018,0
5107859,510785,2018,0
5107875,510787,2018,0
5107883,510788,2018,1
5107909,510790,2018,0
5107925,510792,2018,0
5107958,510795,2018,0
5108303,510830,2018,0
5108402,510840,2018,0
5108501,510850,2018,0
1100015,110001,2019,0
1100023,110002,2019,0
1100049,110004,2019,0
1100056,110005,2019,0
1100098,110009,2019,0
1100106,110010,2019,0
1100114,110011,2019,0
1100122,110012,2019,0
1100148,110014,2019,0
1100155,110015,2019,0
1100205,110020,2019,0
1100288,110028,2019,0
1100304,110030,2019,0
1100320,110032,2019,0
1100346,110034,2019,0
1100502,110050,2019,0
1100940,110094,2019,0
1101450,110145,2019,0
1101484,110148,2019,0
1101492,110149,2019,0
1200054,120005,2019,0
1200104,120010,2019,0
1200203,120020,2019,2
1200302,120030,2019,0
1200385,120038,2019,1
1200401,120040,2019,1
1300029,130002,2019,0
1300607,130060,2019,0
1301209,130120,2019,0
1301407,130140,2019,0
1301704,130170,2019,0
1301803,130180,2019,0
1301902,130190,2019,0
