cod_ibge,id_mun,nome_mun,sigla_uf,id_uf,sigla_regiao,area_total,area_amazonia,pctg_amazonia
1507003,150700,Santo Antônio do Tauá,PA,15,N,537.618,537.618,100.0
1507102,150710,São Caetano de Odivelas,PA,15,N,464.166,464.166,100.0
1507151,150715,São Domingos do Araguaia,PA,15,N,1392.464,1392.464,100.0
1507201,150720,São Domingos do Capim,PA,15,N,1686.765,1686.765,100.0
1507300,150730,São Félix do Xingu,PA,15,N,84212.903,84212.903,100.0
1507409,150740,São Francisco do Pará,PA,15,N,479.441,479.441,100.0
1507458,150745,São Geraldo do Araguaia,PA,15,N,3168.384,3168.384,100.0
1507466,150746,São João da Ponta,PA,15,N,195.918,195.918,100.0
1507474,150747,São João de Pirabas,PA,15,N,668.434,668.434,100.0
1507508,150750,São João do Araguaia,PA,15,N,1279.889,1279.889,100.0
1507607,150760,São Miguel do Guamá,PA,15,N,1094.564,1094.564,100.0
1507706,150770,São Sebastião da Boa Vista,PA,15,N,1632.251,1632.251,100.0
1507755,150775,Sapucaia,PA,15,N,1298.19,1298.19,100.0
1507805,150780,Senador José Porfírio,PA,15,N,14419.916,14419.916,100.0
1507904,150790,Soure,PA,15,N,2857.349,2857.349,100.0
1507953,150795,Tailândia,PA,15,N,4430.477,4430.477,100.0
1507961,150796,Terra Alta,PA,15,N,204.97,204.97,100.0
1507979,150797,Terra Santa,PA,15,N,1895.883,1895.883,100.0
1508001,150800,Tomé-Açu,PA,15,N,5145.361,5145.361,100.0
1508035,150803,Tracuateua,PA,15,N,868.025,868.025,100.0
1508050,150805,Trairão,PA,15,N,11991.085,11991.085,100.0
1508084,150808,Tucumã,PA,15,N,2512.594,2512.594,100.0
1508100,150810,Tucuruí,PA,15,N,2084.289,2084.289,100.0
1508126,150812,Ulianópolis,PA,15,N,5088.468,5088.468,100.0
1508159,150815,Uruará,PA,15,N,10791.406,10791.406,100.0
1508209,150820,Vigia,PA,15,N,401.589,401.589,100.0
1508308,150830,Viseu,PA,15,N,4972.897,4972.897,100.0
1508357,150835,Vitória do Xingu,PA,15,N,3089.537,3089.537,100.0
1508407,150840,Xinguara,PA,15,N,3779.348,3779.348,100.0
1600055,160005,Serra do Navio,AP,16,N,7713.046,7713.046,100.0
1600105,160010,Amapá,AP,16,N,8454.847,8454.847,100.0
1600154,160015,Pedra Branca do Amapari,AP,16,N,9622.29,9622.29,100.0
1600204,160020,Calçoene,AP,16,N,14117.297,14117.297,100.0
1600212,160021,Cutias,AP,16,N,2179.114,2179.114,100.0
1600238,160023,Ferreira Gomes,AP,16,N,4973.855,4973.855,100.0
1600253,160025,Itaubal,AP,16,N,1622.867,1622.867,100.0
1600279,160027,Laranjal do Jari,AP,16,N,30782.998,30782.998,100.0
1600303,160030,Macapá,AP,16,N,6563.849,6563.849,100.0
1600402,160040,Mazagão,AP,16,N,13294.778,13294.778,100.0
1600501,160050,Oiapoque,AP,16,N,23034.392,23034.392,100.0
1600535,160053,Porto Grande,AP,16,N,4428.013,4428.013,100.0
1600550,160055,Pracuúba,AP,16,N,4948.508,4948.508,100.0
1600600,160060,Santana,AP,16,N,1541.224,1541.224,100.0
1600709,160070,Tartarugalzinho,AP,16,N,6684.705,6684.705,100.0
1600808,160080,Vitória do Jari,AP,16,N,2508.979,2508.979,100.0
1700251,170025,Abreulândia,TO,17,N,1906.295,1906.295,100.0
1700301,170030,Aguiarnópolis,TO,17,N,236.792,236.792,100.0
1700350,170035,Aliança do Tocantins,TO,17,N,1580.999,1580.999,100.0
1700400,170040,Almas,TO,17,N,4007.152,4007.152,100.0
1700707,170070,Alvorada,TO,17,N,1207.201,1207.201,100.0
1701002,170100,Ananás,TO,17,N,1581.058,1581.058,100.0
1701051,170105,Angico,TO,17,N,447.549,447.549,100.0
1701101,170110,Aparecida do Rio Negro,TO,17,N,1159.034,1159.034,100.0
1701309,170130,Aragominas,TO,17,N,1168.213,1168.213,100.0
1701903,170190,Araguacema,TO,17,N,2774.505,2774.505,100.0
1702000,170200,Araguaçu,TO,17,N,5155.223,5155.223,100.0
1702109,170210,Araguaína,TO,17,N,4004.646,4004.646,100.0
1702158,170215,Araguanã,TO,17,N,834.834,834.834,100.0
1702208,170220,Araguatins,TO,17,N,2633.278,2633.278,100.0
1702307,170230,Arapoema,TO,17,N,1558.138,1558.138,100.0
1702406,170240,Arraias,TO,17,N,5803.085,5803.085,100.0
1702554,170255,Augustinópolis,TO,17,N,388.81,388.81,100.0
1702703,170270,Aurora do Tocantins,TO,17,N,696.194,696.194,100.0
1702901,170290,Axixá do Tocantins,TO,17,N,153.539,153.539,100.0
1703008,170300,Babaçulândia,TO,17,N,1790.297,1790.297,100.0
1703057,170305,Bandeirantes do Tocantins,TO,17,N,1540.541,1540.541,100.0
1703073,170307,Barra do Ouro,TO,17,N,1105.84,1105.84,100.0
1703107,170310,Barrolândia,TO,17,N,697.759,697.759,100.0
1703206,170320,Bernardo Sayão,TO,17,N,924.045,924.045,100.0
1703305,170330,Bom Jesus do Tocantins,TO,17,N,1326.947,1326.947,100.0
1703602,170360,Brasilândia do Tocantins,TO,17,N,645.908,645.908,100.0
1703701,170370,Brejinho de Nazaré,TO,17,N,1722.59,1722.59,100.0
1703800,170380,Buriti do Tocantins,TO,17,N,252.73,252.73,100.0
1703826,170382,Cachoeirinha,TO,17,N,351.535,351.535,100.0
1703842,170384,Campos Lindos,TO,17,N,3234.445,3234.445,100.0
1703867,170386,Cariri do Tocantins,TO,17,N,1126.291,1126.291,100.0
1703883,170388,Carmolândia,TO,17,N,339.366,339.366,100.0
1703891,170389,Carrasco Bonito,TO,17,N,190.352,190.352,100.0
1703909,170390,Caseara,TO,17,N,1680.014,1680.014,100.0
1704105,170410,Centenário,TO,17,N,1953.134,1953.134,100.0
1704600,170460,Chapada de Areia,TO,17,N,658.564,658.564,100.0
1705102,170510,Chapada da Natividade,TO,17,N,1640.833,1640.833,100.0
1705508,170550,Colinas do Tocantins,TO,17,N,842.488,842.488,100.0
1705557,170555,Combinado,TO,17,N,208.791,208.791,100.0
1705607,170560,Conceição do Tocantins,TO,17,N,2530.647,2530.647,100.0
1706001,170600,Couto Magalhães,TO,17,N,1584.196,1584.196,100.0
1706100,170610,Cristalândia,TO,17,N,1850.75,1850.75,100.0
1706258,170625,Crixás do Tocantins,TO,17,N,983.766,983.766,100.0
1706506,170650,Darcinópolis,TO,17,N,1641.77,1641.77,100.0
1707009,170700,Dianópolis,TO,17,N,3318.094,3318.094,100.0
