cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1304203,Tefé,AM,13.97,17.35,66.48,2.19,15.5,17.15,58.15,9.19,6.2,22.1,53.56,18.13
1304237,Tonantins,AM,5.03,35.5,59.23,0.24,0.25,9.09,80.25,10.41,0.0,4.25,68.05000000000001,27.7
1304260,Uarini,AM,1.77,0.23,93.1,4.91,1.87,11.09,64.36,22.67,0.26,4.58,48.61999999999999,46.53
1304302,Urucará,AM,0.82,11.22,87.83,0.14,2.2,8.39,87.56,1.85,0.4,20.96,74.05999999999999,4.58
1304401,Urucurituba,AM,3.13,24.61,71.83999999999999,0.42,1.18,21.52,69.92,7.37,0.18,12.9,78.33000000000001,8.6
1400027,Amajari,RR,6.24,31.68,37.12,24.97,0.19,10.53,49.94,39.33,0.56,29.53,34.17,35.75
1400050,Alto Alegre,RR,9.78,23.1,38.42,28.7,6.59,12.11,47.45,33.84,0.08,21.39,68.42,10.1
1400100,Boa Vista,RR,61.29,27.02,11.609999999999998,0.08,18.68,36.7,43.830000000000005,0.79,15.15,62.46,18.5,3.89
1400159,Bonfim,RR,6.15,33.45,58.31,2.09,0.84,39.09,51.34,8.74,0.26,36.66,51.690000000000005,11.38
1400175,Cantá,RR,1.47,40.41,56.06,2.06,0.72,10.54,73.78,14.97,0.31,34.89,46.24,18.55
1400209,Caracaraí,RR,34.68,27.16,35.34,2.83,42.9,15.13,34.94,7.03,15.77,29.42,19.97,34.84
1400233,Caroebe,RR,11.31,7.6,80.32999999999998,0.77,13.27,2.32,72.38,12.02,0.08,22.79,35.709999999999994,41.41
1400282,Iracema,RR,31.76,39.38,17.49,11.35,25.31,25.85,29.11,19.72,0.09,56.85,25.77,17.3
1400308,Mucajaí,RR,29.05,44.37,24.48,2.1,2.92,1.03,88.97999999999999,7.07,0.71,47.88,36.79,14.63
1400407,Normandia,RR,0.44,10.78,85.33,3.46,0.24,16.22,70.22,13.34,0.58,11.06,42.58,45.79
1400456,Pacaraima,RR,6.39,53.94,33.43,6.24,3.34,22.65,65.11,8.9,2.14,44.43,19.57,33.86
