cod_ibge,nome_mun,sigla_uf,pop_residente_2022,area_km2_2022,densidade_hab_km2_2022,area_km2_2010,densidade_hab_km2_2010
5106109,Nossa Senhora do Livramento,MT,12940,5537.413,2.34,5540.7,2.1
5106158,Nova Bandeirantes,MT,13635,9556.661,1.43,9606.3,1.21
5106174,Nova Nazaré,MT,4200,4034.539,1.04,4038.1,0.75
5106182,Nova Lacerda,MT,6670,4780.426,1.4,4729.9,1.15
5106190,Nova Santa Helena,MT,4239,2385.611,1.78,2205.1,1.57
5106208,Nova Brasilândia,MT,3932,3290.032,1.2,3281.9,1.4
5106216,Nova Canaã do Norte,MT,11707,5953.099,1.97,5966.2,2.03
5106224,Nova Mutum,MT,55839,9536.814,5.86,9556.0,3.31
5106232,Nova Olímpia,MT,16352,1327.266,12.32,1549.8,11.3
5106240,Nova Ubiratã,MT,11530,12460.736,0.93,12706.2,0.73
5106257,Nova Xavantina,MT,24345,5491.972,4.43,5667.9,3.47
5106265,Novo Mundo,MT,6520,5800.759,1.12,5790.3,1.27
5106273,Novo Horizonte do Norte,MT,3349,920.048,3.64,879.7,4.26
5106281,Novo São Joaquim,MT,6919,5225.595,1.32,5035.2,1.2
5106299,Paranaíta,MT,11671,4814.149,2.42,4796.0,2.23
5106307,Paranatinga,MT,26423,24166.632,1.09,24166.1,0.8
5106315,Novo Santo Antônio,MT,2015,4394.78,0.46,4393.8,0.46
5106372,Pedra Preta,MT,18066,3841.672,4.7,4108.6,3.83
5106422,Peixoto de Azevedo,MT,32714,14433.775,2.27,14257.3,2.16
5106455,Planalto da Serra,MT,3166,2437.59,1.3,2455.4,1.11
5106505,Poconé,MT,31217,17156.759,1.82,17271.0,1.84
5106653,Pontal do Araguaia,MT,6932,2742.482,2.53,2738.6,1.97
5106703,Ponte Branca,MT,2008,701.138,2.86,686.0,2.58
5106752,Pontes e Lacerda,MT,52018,8545.292,6.09,8559.8,4.84
5106778,Porto Alegre do Norte,MT,12127,3971.721,3.05,3972.1,2.71
5106802,Porto dos Gaúchos,MT,5593,6846.668,0.82,6993.8,0.78
5106828,Porto Esperidião,MT,10204,5835.278,1.75,5808.2,1.9
5106851,Porto Estrela,MT,3224,2045.467,1.58,2062.8,1.77
5107008,Poxoréu,MT,23283,6915.298,3.37,6910.1,2.55
5107040,Primavera do Leste,MT,85146,5470.383,15.56,5471.7,9.52
5107065,Querência,MT,26769,17799.989,1.5,17786.2,0.73
5107107,São José dos Quatro Marcos,MT,17849,1282.763,13.91,1289.1,14.74
5107156,Reserva do Cabaçal,MT,2122,1331.677,1.59,1337.0,1.92
5107180,Ribeirão Cascalheira,MT,10089,11354.555,0.89,11354.8,0.78
5107198,Ribeirãozinho,MT,2593,624.997,4.15,625.6,3.52
5107206,Rio Branco,MT,4535,539.287,8.41,562.8,9.01
5107248,Santa Carmem,MT,5374,3812.09,1.41,3855.4,1.06
5107263,Santo Afonso,MT,2519,1166.382,2.16,1174.2,2.55
5107297,São José do Povo,MT,2875,489.737,5.87,443.9,8.09
5107305,São José do Rio Claro,MT,14911,4525.304,3.3,4536.2,3.77
5107354,São José do Xingu,MT,5964,7465.563,0.8,7459.6,0.7
5107404,São Pedro da Cipa,MT,4191,344.33,12.17,343.0,12.12
5107578,Rondolândia,MT,3505,12658.341,0.28,12670.8,0.28
5107602,Rondonópolis,MT,244911,4824.02,50.77,4159.1,47.0
5107701,Rosário Oeste,MT,15453,7339.443,2.11,7648.0,2.31
5107743,Santa Cruz do Xingu,MT,2661,5623.39,0.47,5651.7,0.34
5107750,Salto do Céu,MT,3679,1753.378,2.1,1752.3,2.23
