cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
1702703,Aurora do Tocantins,TO,0.98,0.03,1.02,0.0,1.02,0.0,0.0,0.0
1702901,Axixá do Tocantins,TO,2.23,0.48,2.71,0.12,2.83,0.0,0.0,0.0
1703008,Babaçulândia,TO,1.56,0.23,1.79,0.0,1.79,0.0,0.0,0.0
1703057,Bandeirantes do Tocantins,TO,1.1,0.0,1.1,0.04,1.14,0.03,0.0,0.0
1703073,Barra do Ouro,TO,1.33,0.53,1.86,0.0,1.86,0.0,0.0,0.0
1703107,Barrolândia,TO,1.7,0.17,1.86,0.16,2.02,0.0,0.0,0.0
1703206,Bernardo Sayão,TO,1.61,0.61,2.21,0.0,2.21,0.03,0.0,0.0
1703305,Bom Jesus do Tocantins,TO,1.1,0.19,1.29,0.0,1.29,0.0,0.0,0.0
1703602,Brasilândia do Tocantins,TO,0.75,0.14,0.89,0.0,0.89,0.04,0.0,0.0
1703701,Brejinho de Nazaré,TO,2.96,0.0,2.96,0.0,2.96,0.0,0.0,0.0
1703800,Buriti do Tocantins,TO,2.81,0.37,3.19,0.0,3.19,0.01,0.0,0.0
1703826,Cachoeirinha,TO,0.58,0.13,0.71,0.0,0.71,0.0,0.0,0.0
1703842,Campos Lindos,TO,2.26,0.0,2.26,0.0,2.26,0.0,0.0,0.0
1703867,Cariri do Tocantins,TO,1.49,0.74,2.23,0.0,2.23,0.54,0.0,0.0
1703883,Carmolândia,TO,0.96,0.0,0.96,0.0,0.96,0.0,0.0,0.0
1703891,Carrasco Bonito,TO,1.1,0.11,1.22,0.0,1.22,0.0,0.0,0.0
1703909,Caseara,TO,1.13,0.17,1.3,0.0,1.3,0.0,0.0,0.0
1704105,Centenário,TO,0.6,0.18,0.78,0.0,0.78,0.0,0.0,0.0
1704600,Chapada de Areia,TO,0.51,0.19,0.7,0.0,0.7,0.0,0.0,0.0
1705102,Chapada da Natividade,TO,0.83,0.0,0.83,0.0,0.83,0.0,0.0,0.0
1705508,Colinas do Tocantins,TO,9.58,1.65,11.23,0.5,11.73,0.55,0.0,0.0
1705557,Combinado,TO,1.54,0.18,1.72,0.0,1.72,0.0,0.0,0.0
1705607,Conceição do Tocantins,TO,1.18,0.1,1.28,0.0,1.28,0.0,0.0,0.0
1706001,Couto Magalhães,TO,1.17,0.85,2.01,0.09,2.1,0.0,0.0,0.0
1706100,Cristalândia,TO,2.44,0.0,2.44,0.0,2.44,0.03,0.0,0.0
1706258,Crixás do Tocantins,TO,0.65,0.0,0.65,0.0,0.65,0.09,0.0,0.0
1706506,Darcinópolis,TO,1.32,0.8,2.12,0.0,2.12,0.0,0.0,0.0
1707009,Dianópolis,TO,5.06,0.73,5.79,0.27,6.06,0.32,0.0,0.0
1707108,Divinópolis do Tocantins,TO,1.96,0.3,2.26,0.0,2.26,0.0,0.0,0.0
1707207,Dois Irmãos do Tocantins,TO,1.3,0.16,1.45,0.0,1.45,0.0,0.0,0.0
1707306,Dueré,TO,1.88,0.0,1.88,0.0,1.88,0.04,0.0,0.0
1707405,Esperantina,TO,1.76,0.38,2.14,0.0,2.14,0.0,0.0,0.0
1707553,Fátima,TO,1.92,0.0,1.92,0.0,1.92,0.06,0.0,0.0
1707652,Figueirópolis,TO,2.7,0.0,2.7,0.22,2.92,0.0,0.0,0.0
1707702,Filadélfia,TO,1.95,0.66,2.6,0.0,2.6,0.0,0.0,0.0
1708205,Formoso do Araguaia,TO,6.67,2.15,8.82,0.1,8.93,0.67,0.0,0.0
1708254,Tabocão,TO,1.02,0.6,1.62,0.0,1.62,0.0,0.0,0.0
1708304,Goianorte,TO,0.9,0.27,1.16,0.0,1.16,0.0,0.0,0.0
1709005,Goiatins,TO,2.84,0.68,3.53,0.0,3.53,0.0,0.0,0.0
1709302,Guaraí,TO,6.69,2.07,8.76,0.0,8.76,0.13,0.0,0.0
1709500,Gurupi,TO,28.05,7.14,35.19,1.61,36.8,3.9,0.34,0.0
1709807,Ipueiras,TO,0.7,0.27,0.97,0.0,0.97,0.0,0.0,0.0
1710508,Itacajá,TO,1.2,0.29,1.48,0.0,1.48,0.0,0.0,0.0
1710706,Itaguatins,TO,1.64,0.42,2.06,0.0,2.06,0.0,0.0,0.0
1710904,Itapiratins,TO,1.02,0.32,1.34,0.09,1.43,0.0,0.0,0.0
1711100,Itaporã do Tocantins,TO,0.59,0.0,0.59,0.0,0.59,0.0,0.0,0.0
1711506,Jaú do Tocantins,TO,0.94,0.13,1.07,0.0,1.07,0.0,0.0,0.0
1711803,Juarina,TO,0.56,0.0,0.56,0.0,0.56,0.0,0.0,0.0
1711902,Lagoa da Confusão,TO,2.92,3.91,6.83,0.86,7.68,0.83,0.0,0.0
1711951,Lagoa do Tocantins,TO,0.78,0.2,0.98,0.0,0.98,0.0,0.0,0.0
1712009,Lajeado,TO,0.91,0.65,1.56,0.0,1.56,0.0,0.0,0.0
1712157,Lavandeira,TO,0.48,0.0,0.48,0.0,0.48,0.0,0.0,0.0
1712405,Lizarda,TO,1.0,0.25,1.25,0.0,1.25,0.0,0.0,0.0
1712454,Luzinópolis,TO,0.77,0.14,0.91,0.0,0.91,0.0,0.0,0.0
1712504,Marianópolis do Tocantins,TO,1.35,0.0,1.35,0.22,1.57,0.09,0.0,0.0
1712702,Mateiros,TO,0.77,0.08,0.85,0.0,0.85,0.0,0.0,0.0
1712801,Maurilândia do Tocantins,TO,0.52,0.36,0.88,0.0,0.88,0.0,0.0,0.0
1713205,Miracema do Tocantins,TO,7.21,1.15,8.36,0.41,8.78,0.12,0.29,0.0
1713304,Miranorte,TO,3.37,1.52,4.89,0.0,4.89,0.0,0.0,0.0
1713601,Monte do Carmo,TO,1.43,0.15,1.59,0.0,1.59,0.0,0.0,0.0
1713700,Monte Santo do Tocantins,TO,0.8,0.24,1.04,0.0,1.04,0.0,0.0,0.0
1713809,Palmeiras do Tocantins,TO,1.15,0.38,1.53,0.0,1.53,0.0,0.0,0.0
1713957,Muricilândia,TO,0.6,0.45,1.05,0.0,1.05,0.0,0.0,0.0
1714203,Natividade,TO,2.9,0.64,3.54,0.0,3.54,0.0,0.0,0.0
1714302,Nazaré,TO,1.67,0.18,1.85,0.0,1.85,0.0,0.0,0.0
1714880,Nova Olinda,TO,3.18,0.91,4.09,0.18,4.26,0.26,0.0,0.0
1715002,Nova Rosalândia,TO,1.39,0.16,1.55,0.0,1.55,0.13,0.0,0.0
1715101,Novo Acordo,TO,1.51,0.3,1.81,0.0,1.81,0.0,0.0,0.0
1715150,Novo Alegre,TO,0.56,0.11,0.66,0.0,0.66,0.0,0.0,0.0
1715259,Novo Jardim,TO,0.69,0.14,0.82,0.24,1.06,0.0,0.0,0.0
1715507,Oliveira de Fátima,TO,0.51,0.14,0.65,0.0,0.65,0.0,0.0,0.0
1715705,Palmeirante,TO,0.52,1.15,1.67,0.0,1.67,0.0,0.0,0.0
1715754,Palmeirópolis,TO,2.38,0.2,2.58,0.13,2.71,0.0,0.0,0.0
1716109,Paraíso do Tocantins,TO,15.04,2.92,17.95,1.84,19.79,1.23,0.0,0.0
1716208,Paranã,TO,2.29,0.85,3.14,0.0,3.14,0.0,0.0,0.0
1716307,Pau D'Arco,TO,1.18,0.32,1.5,0.0,1.5,0.0,0.0,0.0
1716505,Pedro Afonso,TO,4.14,0.77,4.91,0.0,4.91,0.13,0.0,0.0
1716604,Peixe,TO,3.71,0.42,4.13,0.0,4.13,0.0,0.0,0.0
1716653,Pequizeiro,TO,0.91,0.17,1.08,0.0,1.08,0.0,0.0,0.0
1716703,Colméia,TO,2.11,0.49,2.6,0.0,2.6,0.0,0.0,0.0
1717008,Pindorama do Tocantins,TO,1.47,0.0,1.47,0.0,1.47,0.1,0.0,0.0
1717206,Piraquê,TO,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0
1717503,Pium,TO,1.53,0.31,1.84,0.0,1.84,0.0,0.0,0.0
1717800,Ponte Alta do Bom Jesus,TO,1.21,0.38,1.58,0.05,1.63,0.01,0.0,0.0
1717909,Ponte Alta do Tocantins,TO,1.81,0.36,2.17,0.0,2.17,0.0,0.0,0.0
1718006,Porto Alegre do Tocantins,TO,0.77,0.18,0.95,0.0,0.95,0.0,0.0,0.0
1718204,Porto Nacional,TO,17.19,27.76,44.95,10.85,55.8,0.07,0.0,0.0
1718303,Praia Norte,TO,1.59,0.37,1.96,0.0,1.96,0.0,0.0,0.0
1718402,Presidente Kennedy,TO,1.33,0.0,1.33,0.0,1.33,0.0,0.0,0.0
