ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1301951,Itamarati,12455.948,1744.116,5980.789,21919.176,42100.029,884.698,42984.727,5346.36
2010,1302009,Itapiranga,7713.631,36352.401,12428.754,21130.097,77624.883,4404.097,82028.98,10003.53
2010,1302108,Japurá,5448.131,1050.049,4115.578,21104.651,31718.41,871.362,32589.772,4471.09
2010,1302207,Juruá,11577.748,1790.587,5722.635,28627.356,47718.325,1028.358,48746.683,4504.41
2010,1302306,Jutaí,30014.842,3161.616,11321.606,43906.541,88404.605,1340.703,89745.308,4995.84
2010,1302405,Lábrea,75659.078,6922.176,30402.125,88866.744,201850.123,3474.456,205324.579,5464.54
2010,1302504,Manacapuru,221295.526,42484.924,149995.372,201043.688,614819.509,32620.4,647439.91,7604.06
2010,1302553,Manaquiri,53492.585,3762.663,10940.397,54445.007,122640.653,2073.265,124713.917,5468.23
2010,1302603,Manaus,148223.266,19604595.47,15828205.822,4495022.394,40076046.952,10092774.223,50168821.175,27832.52
2010,1302702,Manicoré,74969.584,15868.782,42124.168,113560.416,246522.95,4927.377,251450.327,5348.76
2010,1302801,Maraã,7480.065,1979.418,6689.466,47556.46,63705.409,1348.537,65053.946,3746.48
2010,1302900,Maués,80230.46,9008.699,41682.506,133114.159,264035.825,7575.086,271610.911,5238.7
2010,1303007,Nhamundá,9581.946,2327.173,11604.732,44733.753,68247.604,1416.782,69664.386,3811.38
2010,1303106,Nova Olinda do Norte,21985.515,4660.551,19612.99,79542.248,125801.303,2835.399,128636.703,4181.81
2010,1303205,Novo Airão,8129.512,10426.506,14875.255,38714.599,72145.873,1700.295,73846.168,4996.36
2010,1303304,Novo Aripuanã,13894.225,3022.389,9577.042,50439.461,76933.117,1150.799,78083.916,3650.66
2010,1303403,Parintins,136437.542,28100.134,140884.734,252208.179,557630.589,20706.609,578337.198,5666.31
2010,1303502,Pauini,14794.21,2697.751,10160.804,47515.302,75168.067,1518.099,76686.166,4224.43
2010,1303536,Presidente Figueiredo,51176.634,83922.441,64566.065,99134.668,298799.809,15735.422,314535.23,11597.48
2010,1303569,Rio Preto da Eva,62946.877,21315.176,39417.366,61904.907,185584.327,8278.886,193863.213,7526.33
2010,1303601,Santa Isabel do Rio Negro,8678.465,1914.104,9105.018,43998.627,63696.213,1680.1,65376.313,3605.38
