geocode,state_acronym,feature_id,biome,class_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100056,RO,58780,Amazônia,41,1064.079013,1912.929388,1679.066517,1771.033306,4085.916466,5448.603847,8094.938228,9283.986583,9698.577063,8295.685536,8163.116288,14079.51999,18831.39462,20296.8851,18028.45735,4382.195196,3599.11843,3888.340183,4197.890601,3631.339422,2596.242023,1808.501341,1212.214089
1100056,RO,58780,Amazônia,24,765.6818695,765.6818695,765.8560737,765.9431688,765.8560666,765.8560666,765.8560666,765.9431688,765.9431688,765.9431688,766.1173654,766.8141192,766.9883224,768.1206122,768.3819159,768.5560966,768.8173836,768.9915832,773.2592591,774.2173253,775.2624893,775.2624788,777.4398695
1100056,RO,58780,Amazônia,33,695.1908717,563.1946259,704.8500143,703.6301058,622.4755894,606.6295229,670.2742227,598.0986182,479.6835979,429.3599331,369.8997116,227.8053775,198.9812302,145.3410145,152.9142376,181.6544301,142.6459285,140.2098424,155.801894,193.9436595,151.7992177,115.7454002,181.6797326
1100064,RO,58781,Amazônia,3,39529.78677,37839.8848,35704.25275,34020.30814,32984.4792,32699.74594,32505.12282,32305.02866,32236.7411,32328.19321,32676.97239,32927.65993,33024.07673,32973.01181,32893.10164,32273.15509,31925.36394,31853.47142,31705.44256,31415.70039,30880.75077,30034.56827,28679.98531
1100064,RO,58781,Amazônia,4,3336.739333,3233.901079,3131.804964,3134.795618,3104.197456,3020.707942,3109.313441,3215.358107,3195.84322,3200.991268,3297.614565,3322.273959,3249.155203,3300.619178,3420.690301,3400.666192,3413.649774,3408.231639,3449.427092,3464.319224,3419.530049,3313.337851,2709.40937
1100064,RO,58781,Amazônia,6,4.528499792,4.267219983,4.441490631,4.354407965,4.267157098,4.615582306,4.702636591,4.789791766,4.876929907,4.789869775,4.964053406,4.87690058,5.225126093,5.225223004,5.399340082,5.486403784,5.312397083,5.399456183,5.486546564,5.486644165,5.399584503,5.22546358,4.877179681
1100064,RO,58781,Amazônia,11,95.54465554,95.28264882,108.7798973,151.883555,165.3849735,168.3454867,167.7331808,156.7628201,153.6285426,151.7110475,159.8935344,155.0172317,123.6737211,93.46422016,75.17405913,73.8674738,77.96194644,76.1314283,68.55036033,66.71874131,76.03931711,75.08083356,30.74457856
1100064,RO,58781,Amazônia,12,2803.627045,2796.049518,2792.651139,2795.349198,2798.834028,2778.535579,2781.932718,2778.187797,2784.370863,2786.198941,2789.771764,2788.292843,2779.669837,2769.041326,2772.005212,2769.651275,2769.041458,2774.616281,2782.023188,2789.167587,2806.067833,2821.571238,775.0977648
1100064,RO,58781,Amazônia,29,69.24805792,69.2480567,69.16097125,69.2480567,69.2480567,69.33514337,69.33514337,69.33514337,69.42230229,69.50939956,69.42224064,69.2480567,69.2480567,69.33514337,69.42230229,69.33514337,69.42224064,69.33514337,69.33514337,69.33514337,69.33514337,69.50933978,69.33515912
1100064,RO,58781,Amazônia,15,97983.1611,99616.2278,101816.6132,103416.8192,103986.2639,103624.1008,103262.4652,103109.9243,103134.605,103036.7801,102500.3694,102305.7697,102421.7102,102323.8596,101688.348,101899.0891,102103.6886,102029.0988,102067.4946,102128.5382,102632.1467,103570.3183,107567.6384
1100064,RO,58781,Amazônia,39,250.2205098,387.1764445,364.4476795,373.4290548,403.0604077,740.0200735,694.9070225,785.8294488,972.0498972,1452.101263,1692.751743,1380.457217,741.0771143,766.7561069,1412.849104,2437.818227,2587.851199,2604.730755,2533.403294,2692.649491,2820.075909,3417.257153,3488.063939
