cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1501600,Bonito,PA,42.12,64.03,73.61,57.88,35.97,26.39
1501709,Bragança,PA,43.87,37.54,31.18,56.13,62.46,68.82
1501725,Brasil Novo,PA,35.69,51.42,63.81,64.31,48.59,36.19
1501758,Brejo Grande do Araguaia,PA,64.78,67.64,69.48,35.22,32.35,30.51
1501782,Breu Branco,PA,24.84,24.26,28.13,75.16,75.74,71.86
1501808,Breves,PA,34.08,35.24,20.07,65.93,64.75,79.94
1501907,Bujaru,PA,29.13,39.57,42.4,70.87,60.43,57.6
1501956,Cachoeira do Piriá,PA,16.39,20.13,32.51,83.6,79.88,67.49
1502004,Cachoeira do Arari,PA,24.93,29.93,40.99,75.06,70.06,59.0
1502103,Cametá,PA,37.8,50.14,45.55,62.2,49.87,54.45
1502152,Canaã dos Carajás,PA,2.34,30.8,66.83,97.66,69.21,33.17
1502202,Capanema,PA,10.49,23.14,32.3,89.51,76.87,67.69
1502301,Capitão Poço,PA,34.99,60.35,67.5,65.01,39.67,32.51
1502400,Castanhal,PA,42.07,45.17,43.22,57.93,54.83,56.78
1502509,Chaves,PA,5.43,14.83,20.37,94.57,85.17,79.63
1502608,Colares,PA,52.22,77.54,84.16,47.78,22.47,15.84
1502707,Conceição do Araguaia,PA,46.99,42.56,32.86,53.0,57.44,67.14
1502756,Concórdia do Pará,PA,1.76,13.37,23.03,98.24,86.64,76.97
1502764,Cumaru do Norte,PA,32.67,32.69,45.37,67.33,67.31,54.63
1502772,Curionópolis,PA,32.35,37.09,64.26,67.65,62.9,35.74
1502806,Curralinho,PA,24.35,21.66,12.43,75.65,78.34,87.57
1502855,Curuá,PA,35.31,70.88,70.23,64.69,29.12,29.77
1502905,Curuçá,PA,58.28,86.68,87.78,41.72,13.31,12.23
1502939,Dom Eliseu,PA,69.39,77.43,79.74,30.6,22.58,20.25
1502954,Eldorado do Carajás,PA,0.13,24.47,42.47,99.88,75.52,57.53
1503002,Faro,PA,63.86,74.62,78.67,36.13,25.38,21.33
1503044,Floresta do Araguaia,PA,0.8,1.74,12.51,99.2,98.26,87.49
1503077,Garrafão do Norte,PA,13.59,25.84,40.06,86.41,74.16,59.94
1503093,Goianésia do Pará,PA,3.22,9.04,14.88,96.78,90.96,85.12
1503101,Gurupá,PA,29.54,34.74,35.57,70.46,65.26,64.43
1503200,Igarapé-Açu,PA,55.28,72.32,72.04,44.72,27.68,27.97
1503309,Igarapé-Miri,PA,25.34,16.04,17.61,74.66,83.97,82.38
1503408,Inhangapi,PA,28.8,45.53,65.23,71.21,54.47,34.77
1503457,Ipixuna do Pará,PA,26.35,55.4,77.11,73.65,44.6,22.89
1503507,Irituia,PA,39.04,59.42,61.79,60.96,40.58,38.22
1503606,Itaituba,PA,7.72,13.32,25.52,92.28,86.69,74.48
1503705,Itupiranga,PA,5.99,4.44,17.64,94.01,95.57,82.35
1503754,Jacareacanga,PA,10.89,41.12,39.83,89.11,58.89,60.17
1503804,Jacundá,PA,20.13,26.02,30.98,79.87,73.99,69.02
1503903,Juruti,PA,33.58,56.65,79.43,66.41,43.35,20.58
1504000,Limoeiro do Ajuru,PA,13.93,23.32,26.79,86.07,76.68,73.21
1504059,Mãe do Rio,PA,6.64,20.01,25.04,93.36,79.98,74.97
1504109,Magalhães Barata,PA,61.28,89.73,92.91,38.72,10.27,7.09
1504208,Marabá,PA,36.12,38.71,39.95,63.88,61.3,60.05
1504307,Maracanã,PA,56.53,63.58,60.01,43.47,36.41,39.99
1504406,Marapanim,PA,50.32,67.44,68.35,49.68,32.56,31.66
1504422,Marituba,PA,17.96,38.76,51.07,82.04,61.24,48.93
1504455,Medicilândia,PA,18.04,25.19,27.08,81.95,74.82,72.92
1504505,Melgaço,PA,12.12,11.09,8.64,87.88,88.91,91.36
1504604,Mocajuba,PA,53.37,56.35,40.5,46.64,43.65,59.5
1504703,Moju,PA,18.35,33.54,36.24,81.65,66.47,63.76
1504752,Mojuí dos Campos,PA,0.0,0.0,45.63,0.0,0.0,54.37
1504802,Monte Alegre,PA,31.02,46.38,30.6,68.98,53.6,69.4
1504901,Muaná,PA,31.43,44.14,44.47,68.57,55.86,55.53
1504950,Nova Esperança do Piriá,PA,0.03,4.69,13.91,99.97,95.31,86.09
